Region,group,cohort,week_end,vacc_alive,denom
Aneurin Bevan UHB,Adults aged 65 years and over,Autumn 2025,2025-09-28,1383,17795
Aneurin Bevan UHB,Adults aged 65 years and over,Autumn 2025,2025-10-05,3063,17795
Aneurin Bevan UHB,Adults aged 65 years and over,Autumn 2025,2025-10-12,4500,17795
Aneurin Bevan UHB,Adults aged 65 years and over,Autumn 2025,2025-10-19,5938,17795
Aneurin Bevan UHB,Adults aged 65 years and over,Autumn 2025,2025-10-26,6796,17795
Aneurin Bevan UHB,Adults aged 65 years and over,Autumn 2025,2025-11-02,7560,17795
Aneurin Bevan UHB,Adults aged 65 years and over,Autumn 2025,2025-11-09,8220,17795
Aneurin Bevan UHB,Adults aged 65 years and over,Autumn 2025,2025-11-16,8732,17795
Aneurin Bevan UHB,Adults aged 65 years and over,Autumn 2025,2025-11-23,8874,17795
Aneurin Bevan UHB,Adults aged 65 years and over,Autumn 2025,2025-11-30,9614,17795
Aneurin Bevan UHB,Adults aged 65 years and over,Autumn 2025,2025-12-07,10238,17795
Aneurin Bevan UHB,Adults aged 65 years and over,Autumn 2025,2025-12-14,10430,17795
Aneurin Bevan UHB,Adults aged 65 years and over,Autumn 2025,2025-12-21,10749,17795
Aneurin Bevan UHB,Adults aged 65 years and over,Autumn 2025,2025-12-28,10982,17795
Aneurin Bevan UHB,Adults aged 65 years and over,Autumn 2025,2026-01-04,11185,17795
Aneurin Bevan UHB,Residents in a care home for older adults,Autumn 2025,2025-09-28,286,5005
Aneurin Bevan UHB,Residents in a care home for older adults,Autumn 2025,2025-10-05,745,5005
Aneurin Bevan UHB,Residents in a care home for older adults,Autumn 2025,2025-10-12,1015,5005
Aneurin Bevan UHB,Residents in a care home for older adults,Autumn 2025,2025-10-19,1322,5005
Aneurin Bevan UHB,Residents in a care home for older adults,Autumn 2025,2025-10-26,1639,5005
Aneurin Bevan UHB,Residents in a care home for older adults,Autumn 2025,2025-11-02,1830,5005
Aneurin Bevan UHB,Residents in a care home for older adults,Autumn 2025,2025-11-09,2095,5005
Aneurin Bevan UHB,Residents in a care home for older adults,Autumn 2025,2025-11-16,2269,5005
Aneurin Bevan UHB,Residents in a care home for older adults,Autumn 2025,2025-11-23,2439,5005
